JunkFood , Alternatives , CookTime , PrepTime , TotalTime , Description , RecipeCategory , RecipeIngredientQuantities , RecipeIngredientParts , Calories , FatContent , SaturatedFatContent , CholesterolContent , SodiumContent , CarbohydrateContent , FiberContent , SugarContent , ProteinContent , RecipeServings , RecipeYield , RecipeInstructions
Chocolate Bar , Dark Chocolate Almond Bark , 10 mins , 5 mins , 15 mins , Healthy dark chocolate bark with almonds and a touch of sea salt , Dessert ," 100g dark chocolate, 1/4 cup almonds, sea salt "," c(""Dark chocolate"", ""almonds"", ""sea salt"") ",180, 12g , 5g , 0mg , 10mg , 20g , 4g , 8g , 3g , 1 bar , 1 serving ," 1. Melt dark chocolate, 2. Mix with almonds, 3. Spread on parchment paper and sprinkle with sea salt, 4. Refrigerate to set."
,,,,,,,,,,,,,,,,,,,,
Bagels , Whole Wheat Avocado Bagel , 10 mins , 5 mins , 15 mins , Whole wheat bagel topped with creamy avocado spread , Breakfast ," 1 whole wheat bagel, 1/2 avocado, 1 tbsp lemon juice "," c(""Whole wheat bagel"", ""avocado"", ""lemon juice"", ""salt"") ",250, 15g , 2g , 0mg , 350mg , 28g , 10g , 2g , 5g , 1 bagel , 1 serving ," 1. Toast the bagel, 2. Mash avocado with lemon juice, 3. Spread on bagel and serve."
,,,,,,,,,,,,,,,,,,,,
Cupcakes , Carrot Cake Cupcakes , 25 mins , 10 mins , 35 mins , Carrot cake cupcakes with cream cheese frosting , Dessert ," 1 cup carrots, 1/2 cup flour, 1/4 cup sugar, cream cheese "," c(""Carrots"", ""flour"", ""sugar"", ""cream cheese"", ""baking soda"") ",180, 8g , 3g , 15mg , 200mg , 25g , 3g , 12g , 3g , 1 cupcake , 1 serving ," 1. Preheat oven to 350Â°F, 2. Mix ingredients, 3. Bake for 20 minutes, 4. Frost with cream cheese."
,,,,,,,,,,,,,,,,,,,,
Granola Bars , No-Bake Peanut Butter Oat Bars , 10 mins , 10 mins , 20 mins , No-bake oat bars with peanut butter and honey , Snack ," 1/2 cup peanut butter, 1 cup oats, 2 tbsp honey "," c(""Peanut butter"", ""oats"", ""honey"", ""chocolate chips"") ",250, 14g , 5g , 0mg , 180mg , 30g , 4g , 15g , 6g , 1 bar , 1 serving ," 1. Mix ingredients, 2. Press into pan, 3. Refrigerate for 15 minutes, 4. Cut into bars."
,,,,,,,,,,,,,,,,,,,,
Hot Dogs , Veggie Dogs , 15 mins , 5 mins , 20 mins , Plant-based veggie dogs with a tangy mustard dressing , Dinner ," 1 veggie dog, 1 whole wheat bun, mustard "," c(""Veggie dog"", ""whole wheat bun"", ""mustard"") ",180, 8g , 1g , 0mg , 300mg , 20g , 4g , 3g , 10g , 1 hot dog , 1 serving ," 1. Grill veggie dog, 2. Place in bun, 3. Add mustard and serve."
,,,,,,,,,,,,,,,,,,,,
Ice Cream Sandwich , Greek Yogurt and Granola Sandwich , 5 mins , 5 mins , 10 mins , Greek yogurt with granola sandwiched between two cookies , Dessert ," 1/2 cup Greek yogurt, 1/4 cup granola, 2 cookies "," c(""Greek yogurt"", ""granola"", ""cookies"") ",250, 10g , 2g , 5mg , 150mg , 30g , 4g , 18g , 12g , 1 sandwich , 1 serving ," 1. Spread Greek yogurt on cookies, 2. Add granola, 3. Press together and freeze for 10 minutes."
,,,,,,,,,,,,,,,,,,,,
Chocolates , Coconut Almond Truffles , 15 mins , 5 mins , 20 mins , Rich and creamy coconut almond truffles , Dessert ," 1 cup shredded coconut, 1/2 cup almond butter "," c(""Shredded coconut"", ""almond butter"", ""dark chocolate"") ",220, 15g , 5g , 0mg , 20mg , 20g , 5g , 15g , 6g , 1 truffle , 1 serving ," 1. Roll coconut and almond butter into balls, 2. Dip in melted chocolate, 3. Refrigerate to set."
,,,,,,,,,,,,,,,,,,,,
Pizza Rolls , Veggie Pizza Rolls , 20 mins , 10 mins , 30 mins , Whole wheat pizza rolls stuffed with veggies and cheese , Snack ," 1 whole wheat tortilla, 1/4 cup cheese, 1/4 cup spinach "," c(""Whole wheat tortilla"", ""cheese"", ""spinach"", ""tomato sauce"") ",200, 9g , 4g , 20mg , 450mg , 30g , 5g , 5g , 8g , 4 rolls , 1 serving ," 1. Roll up tortillas with veggies and cheese, 2. Bake for 20 minutes."
,,,,,,,,,,,,,,,,,,,,
French Toast , Almond Flour French Toast , 15 mins , 5 mins , 20 mins , Low-carb French toast made with almond flour , Breakfast ," 2 eggs, 1/2 cup almond flour, 1/4 tsp cinnamon "," c(""Eggs"", ""almond flour"", ""cinnamon"", ""vanilla extract"") ",250, 18g , 6g , 100mg , 300mg , 10g , 2g , 5g , 12g , 2 slices , 2 servings ," 1. Whisk ingredients, 2. Dip bread in mixture, 3. Cook in skillet for 2 minutes each side."
,,,,,,,,,,,,,,,,,,,,
Churros , Baked Cinnamon Sugar Churros , 30 mins , 10 mins , 40 mins , Healthier baked churros with cinnamon sugar , Dessert ," 1 cup whole wheat flour, 1/2 cup applesauce, cinnamon "," c(""Whole wheat flour"", ""applesauce"", ""cinnamon"", ""baking powder"") ",170, 6g , 2g , 0mg , 190mg , 30g , 4g , 15g , 3g , 2 churros , 2 servings ," 1. Preheat oven to 375Â°F, 2. Shape dough into churros, 3. Bake for 25 minutes, 4. Roll in cinnamon sugar."
,,,,,,,,,,,,,,,,,,,,
Waffles , Banana Oat Waffles , 10 mins , 5 mins , 15 mins , Healthy waffles made with oats and bananas , Breakfast ," 1 banana, 1/2 cup oats, 1/4 cup almond milk "," c(""Banana"", ""oats"", ""almond milk"", ""baking powder"") ",200, 8g , 1g , 0mg , 300mg , 28g , 6g , 12g , 5g , 2 waffles , 2 servings ," 1. Blend ingredients, 2. Cook in waffle iron for 5 minutes, 3. Serve with syrup."
,,,,,,,,,,,,,,,,,,,,
Pancakes , Oatmeal Pancakes , 15 mins , 5 mins , 20 mins , Oatmeal pancakes packed with fiber and flavor , Breakfast ," 1 cup rolled oats, 1/2 cup almond milk, 1 egg "," c(""Rolled oats"", ""almond milk"", ""egg"", ""baking powder"") ",220, 8g , 2g , 0mg , 300mg , 30g , 5g , 12g , 7g , 2 pancakes , 2 servings ," 1. Blend oats into flour, 2. Mix with wet ingredients, 3. Cook on skillet for 3 minutes each side."
,,,,,,,,,,,,,,,,,,,,
Cheesecake , Greek Yogurt Cheesecake , 20 mins , 10 mins , 30 mins ," A creamy, healthier cheesecake made with Greek yogurt ", Dessert ," 1 cup Greek yogurt, 1/4 cup honey, 1/2 cup almonds "," c(""Greek yogurt"", ""honey"", ""almonds"", ""baking soda"") ",180, 10g , 5g , 20mg , 100mg , 18g , 3g , 10g , 9g , 1 slice , 1 serving ," 1. Mix yogurt and honey, 2. Bake for 20 minutes, 3. Top with crushed almonds."
,,,,,,,,,,,,,,,,,,,,
Brownies , Black Bean Brownies , 30 mins , 10 mins , 40 mins , Fudgy brownies made with black beans for extra protein , Dessert ," 1 can black beans, 1/4 cup cocoa powder, 1/4 cup maple syrup "," c(""Black beans"", ""cocoa powder"", ""maple syrup"", ""baking powder"") ",200, 6g , 1g , 0mg , 200mg , 30g , 7g , 12g , 6g , 1 brownie , 1 serving ," 1. Blend beans with ingredients, 2. Bake for 30 minutes, 3. Cool and cut into squares."
,,,,,,,,,,,,,,,,,,,,
Ice Cream Cone , Frozen Yogurt Parfait , 5 mins , 5 mins , 10 mins , Layered frozen yogurt parfait with fruits and nuts , Dessert ," 1/2 cup Greek yogurt, 1/4 cup mixed berries, 2 tbsp granola "," c(""Greek yogurt"", ""mixed berries"", ""granola"") ",150, 3g , 1g , 10mg , 100mg , 20g , 3g , 12g , 6g , 1 parfait , 1 serving ," 1. Layer yogurt, berries, and granola in a cup, 2. Serve chilled."
,,,,,,,,,,,,,,,,,,,,
Cinnamon Rolls , Healthy Cinnamon Rolls , 40 mins , 10 mins , 50 mins , Healthier cinnamon rolls made with whole wheat flour , Breakfast ," 2 cups whole wheat flour, 1/4 cup honey, cinnamon "," c(""Whole wheat flour"", ""honey"", ""cinnamon"", ""baking powder"") ",250, 10g , 3g , 15mg , 250mg , 35g , 5g , 20g , 5g , 2 rolls , 2 servings ," 1. Mix dough, 2. Roll and fill with cinnamon sugar, 3. Bake for 30 minutes."
,,,,,,,,,,,,,,,,,,,,
Popcorn , Air-Popped Popcorn with Nutritional Yeast , 10 mins , 5 mins , 15 mins , Light and crunchy air-popped popcorn with a cheesy flavor from nutritional yeast , Snack ," 1/4 cup popcorn kernels, 1 tbsp olive oil, 2 tbsp nutritional yeast "," c(""Popcorn kernels"", ""olive oil"", ""nutritional yeast"") ",120, 6g , 1g , 0mg , 200mg , 15g , 3g , 0g , 3g , 1 serving , 1 bowl ," 1. Air pop the popcorn, 2. Toss with olive oil and nutritional yeast, 3. Serve immediately."
,,,,,,,,,,,,,,,,,,,,
Fried Chicken , Oven-Baked Chicken Tenders , 25 mins , 10 mins , 35 mins , Healthy baked chicken tenders with a crispy almond flour coating , Dinner ," 1 lb chicken breast strips, 1/2 cup almond flour, 1 egg "," c(""Chicken breast"", ""almond flour"", ""egg"", ""garlic powder"", ""paprika"") ",280, 10g , 2g , 70mg , 450mg , 30g , 3g , 0g , 26g , 4 pieces , 1 serving ," 1. Preheat oven to 400Â°F, 2. Dip chicken in egg, coat with almond flour, 3. Bake for 20 minutes, flipping halfway."
,,,,,,,,,,,,,,,,,,,,
Nachos , Cauliflower Nachos , 30 mins , 10 mins , 40 mins ," Low-carb nachos made with roasted cauliflower instead of chips, topped with cheese and salsa ", Snack ," 1 head cauliflower, 1 cup shredded cheese, 1/4 cup salsa "," c(""Cauliflower"", ""cheese"", ""salsa"", ""jalapeÃ±os"") ",250, 14g , 7g , 25mg , 300mg , 20g , 5g , 8g , 12g , 1 plate , 2 servings ," 1. Preheat oven to 400Â°F, 2. Roast cauliflower florets for 20 minutes, 3. Top with cheese and salsa, bake for another 5-10 minutes until cheese melts."
